Timestamp,Enter your name,Black Card (prompt) or White Card (answer)?,Enter the text for the card.
,Cards Against Humanity,white Card,A monkey smoking a cigar.
,Cards Against Humanity,white Card,The true meaning of Christmas.
,Cards Against Humanity,White Card,Ethnic cleansing.
,Cards Against Humanity,white Card,Testicular torsion.
5/29/2014 21:47,Cards Against Humanity,White Card,Chunks of dead prostitute.
5/23/2014 18:34,Denise,White Card,Protein stains.
5/29/2014 21:18,denise,White Card,Fecal transplants.
5/29/2014 21:20,denise,White Card,Shaved cats.
5/29/2014 21:24,denise,White Card,Sharknado performed as an interpretive dance.
5/29/2014 21:25,denise,White Card,A penis of mass destruction.
5/29/2014 21:26,denise,White Card,Puberty.
5/29/2014 21:26,denise,White Card,Wide child-birthing hips.
5/29/2014 21:27,denise,White Card,A picture of Wil Wheaton collating.
5/29/2014 21:29,denise,White Card,Amish Mafia.
5/29/2014 21:30,denise,White Card,Zombie beavers.
5/29/2014 21:55,EdWORD!,White Card,Glutards.
5/29/2014 21:56,EdWORD!,White Card,Boston Strong!
5/29/2014 21:58,EdWORD!,White Card,Declan's humps.
5/29/2014 21:59,EdWORD!,White Card,Chunky Dungeons.
5/29/2014 22:01,EdWORD!,White Card,Anchovies and Olives.
5/29/2014 22:03,EdWORD!,White Card,Boxes and boxes of Trader Joe's cheap booze.
5/29/2014 22:04,EdWORD!,White Card,Trash picking from the Trader Joe's dumpsters.
5/29/2014 22:05,EdWORD!,White Card,The Seven Gables movie theater.
5/29/2014 22:11,EdWORD!,White Card,"Amanda's endless daydreams of being adopted by Woody Allen, her first step to becoming Mrs. Allen."
5/29/2014 22:13,EdWORD!,White Card,"Checking for stains with a blacklight, room by room at the Ministry."
5/29/2014 22:15,EdWORD!,White Card,"The O'Connell brothers, drunk on Irish whiskey."
5/29/2014 22:16,EdWORD!,White Card,Sissy.
5/29/2014 22:17,EdWORD!,White Card,Waiting for the Xbox Kinect to register you exist.
5/29/2014 22:19,EdWORD!,White Card,Tom Waits.
5/29/2014 22:20,EdWORD!,White Card,"A fucking time machine, so Amanda can actually see one of her favorite bands live."
5/29/2014 22:22,EdWORD!,White Card,Packs of Leprechauns fucking bareback in fields of jizz-soaked fourleaf clovers.
5/29/2014 22:23,EdWORD!,White Card,Declans shalalie stick.
5/29/2014 22:24,EdWORD!,White Card,The Freemont Troll.
5/29/2014 22:26,EdWORD!,White Card,Willy Wonka and the Chocolate Factory.
5/29/2014 22:26,EdWORD!,White Card,Anal.
5/29/2014 22:33,EdWORD!,White Card,Being stuck on I-5 in endless traffic.
5/29/2014 22:34,EdWORD!,White Card,Fucking at Gasworks Park.
5/29/2014 22:35,EdWORD!,White Card,Declan's Shepards Pie.
5/29/2014 22:39,EdWORD!,White Card,Popping a sci-fi boner at the EMP.
5/29/2014 22:40,EdWORD!,White Card,Putting on a collar and being Bill Gates bitch.
5/29/2014 22:42,EdWORD!,White Card,"Watching Declan's ""software"" becomes ""hardware."""
5/29/2014 22:50,EdWORD!,White Card,The French New Wave.
5/29/2014 22:51,EdWORD!,White Card,The pain caused by listening to anything new by Tori Amos.
5/29/2014 22:52,EdWORD!,White Card,Sucking fantasy milk out of Neil Gaiman's body.
5/29/2014 22:53,EdWORD!,White Card,Not So Advanced Dungeons and Dragons.
5/29/2014 22:54,EdWORD!,White Card,The way the pages stick together in Declan's Monster Manual.
5/29/2014 22:56,EdWORD!,White Card,A +4 dwarvish condom.
5/29/2014 22:57,EdWORD!,White Card,Game of Moans.
5/29/2014 23:00,EdWORD!,White Card,Sacrificing a goat in the bathtub.
5/29/2014 23:05,EdWORD!,White Card,R00t Beer.
5/29/2014 23:08,EdWORD!,White Card,Amanda trying to talk sexy while doing her Diane Rehm impersonation.
5/29/2014 23:13,EdWORD!,White Card,Danger Zone!
5/29/2014 23:13,EdWORD!,White Card,BMO.
5/29/2014 23:23,EdWORD!,White Card,Picturing Whore Island.
5/29/2014 23:23,EdWORD!,White Card,Pissing glitter.
5/29/2014 23:26,EdWORD!,White Card,A tub of Heisenberg's blue meth.
5/29/2014 23:26,EdWORD!,White Card,Being nominated for an Oscar.
5/29/2014 23:27,EdWORD!,White Card,Dropping the soap on purpose.
5/29/2014 23:28,EdWORD!,White Card,Invader Zim.
5/29/2014 23:29,EdWORD!,White Card,Declan rocking the mic to Gorillaz.
5/29/2014 23:29,EdWORD!,White Card,Your mother.
5/29/2014 23:30,EdWORD!,White Card,Getting drunk and watching bi-racial porn.
5/29/2014 23:31,EdWORD!,White Card,Talking like Lumpy Space Princess.
5/29/2014 23:32,EdWORD!,White Card,Watching Deadwood snuggled up under the covers.
5/29/2014 23:34,EdWORD!,White Card,A lesbian rug.
5/29/2014 23:38,EdWORD!,White Card,Playing Ascension and masturbating at the same time.
5/29/2014 23:41,EdWORD!,White Card,Justin and Janice's blue pubic hair.
5/29/2014 23:44,EdWORD!,White Card,Holy shitsnack.
5/29/2014 23:48,EdWORD!,White Card,R.Kelly filling up a kiddie pool with his urine.
5/29/2014 23:48,EdWORD!,White Card,Getting lost in Beyonce's ass crack.
5/29/2014 23:58,EdWORD!,White Card,Hogwart's School of Witchcraft and Wizardry.
5/30/2014 0:02,EdWORD!,White Card,Getting Erika to do your Hair and Make-up.
5/30/2014 0:03,EdWORD!,White Card,FIsting while wearing a glove made out of sandpaper.
5/30/2014 0:04,EdWORD!,White Card,Literally pissing razor blades.
5/30/2014 0:05,EdWORD!,White Card,Losing an anal bead up there.
5/30/2014 0:06,EdWORD!,White Card,Manscaping.
5/30/2014 0:16,EdWORD!,White Card,The salty crust that dries on a scrotum after a hard workout.
5/27/2014 18:00,Elly,White Card,Pooper.
5/27/2014 18:00,Elly,White Card,"Severing, usurping, and nipples."
5/27/2014 18:01,Elly,White Card,A loathsome bastard.
5/27/2014 18:05,Elly,White Card,Fucking Connor.
5/27/2014 21:14,Elly,White Card,Pixel's ear gunk.
5/27/2014 21:19,Elly,White Card,Didn't leave the house all day.
5/28/2014 14:59,Elly,White Card,Kaylee and Jayne.
5/28/2014 15:00,Elly,White Card,D20.
5/28/2014 15:01,Elly,White Card,Little meats!
5/28/2014 15:01,Elly,White Card,King of Pain.
5/28/2014 15:04,Elly,White Card,On the roof deck.
5/29/2014 19:21,Foster,White Card,Ed's ex-girlfriend.
5/29/2014 19:21,Foster,White Card,Amanda.
5/29/2014 19:21,Foster,White Card,Declan.
5/29/2014 19:21,Foster,White Card,Amanda & Declan.
5/29/2014 19:21,Foster,White Card,An $18 old fashioned.
5/29/2014 19:21,Foster,White Card,Trendy glasses.
5/29/2014 19:22,Foster,White Card,A button-up sweater.
5/29/2014 19:22,Foster,White Card,Librarians.
5/29/2014 19:22,Foster,White Card,Texas.
5/29/2014 19:22,Foster,White Card,A bunch of Texans.
5/29/2014 19:22,Foster,White Card,Janice Von Itter.
5/29/2014 19:23,Foster,White Card,The Great and Powerful Jamie Foster.
5/29/2014 19:23,Foster,White Card,The Kind and Wonderful Christine Foster.
5/29/2014 19:23,Foster,White Card,Edward Paul Mitchell III.
5/29/2014 19:24,Foster,White Card,"The fucking Space Needle, man."
5/29/2014 19:24,Foster,White Card,An itchy rash.
5/29/2014 19:24,Foster,White Card,An airplane.
5/29/2014 19:24,Foster,White Card,A ferris wheel.
5/29/2014 19:24,Foster,White Card,Gin.
5/29/2014 19:24,Foster,White Card,Tonic.
5/29/2014 19:25,Foster,White Card,Rattling ovaries.
5/29/2014 19:25,Foster,White Card,Seattle.
5/29/2014 19:25,Foster,White Card,Giving blow jobs to cattle.
5/29/2014 19:25,Foster,White Card,Room # 911.
5/29/2014 19:25,Foster,White Card,Acting like a professional photographer.
5/29/2014 19:26,Foster,White Card,Deciding on a career path in your 30's.
5/29/2014 19:26,Foster,White Card,Being given a dutch oven by a fat man.
5/29/2014 19:27,Foster,White Card,Fear of heights.
5/29/2014 19:27,Foster,White Card,Boobs that are bigger than they seem.
5/29/2014 19:27,Foster,White Card,Seth Rogan.
5/29/2014 19:27,Foster,White Card,Counting money for asshole producers.
5/29/2014 19:27,Foster,White Card,The casting couch.
5/29/2014 19:27,Foster,White Card,Hookers that don't give receipts.
5/29/2014 19:28,Foster,White Card,A chauffeur to the stars.
5/29/2014 19:28,Foster,White Card,Dog the Bounty Hunter.
5/29/2014 19:28,Foster,White Card,Shotgun weddings.
5/29/2014 19:29,Foster,White Card,Meatwad.
5/29/2014 19:29,Foster,White Card,A tasty vegan brunch.
5/29/2014 19:31,Foster,White Card,Nothing.
5/16/2014 0:00,fraxl,White Card,A damn good Old Fashioned.
5/16/2014 0:03,fraxl,White Card,Really Good Shepard's Pie.
5/21/2014 13:51,fraxl,White Card,PHRASING!
5/29/2014 21:34,fraxl,White Card,Carrot parsnip mash.
5/29/2014 21:35,fraxl,White Card,Roxanne.
5/29/2014 21:46,fraxl,White Card,Owen O'Connell.
5/29/2014 21:46,fraxl,White Card,Paul O'Connell.
5/29/2014 21:50,fraxl,White Card,Lucky the Cat.
5/29/2014 21:54,fraxl,White Card,tl;dr.
5/29/2014 21:55,fraxl,White Card,Gagonne DeBauls.
5/29/2014 21:56,fraxl,White Card,Junkanoo.
,fraxl,white Card,Flying Lab Software.
,fraxl,white card,Cryptic North.
,fraxl,white card,Exploitive mobile games.
,fraxl,white Card,The Northwest Film Forum.
,fraxl,white Card,Trader Joe's.
,fraxl,white Card,Serpent's Skull.
,fraxl,white Card,The Celtic quesadilla.
,fraxl,white Card,The owls are not what they seem.
,fraxl,white Card,Literally using the word literally wrong.
,fraxl,white Card,Turning your labia into a yaybia!
,fraxl,white Card,Homonyms.
,fraxl,White Card,"Franklin, MA."
,fraxl,White Card,Franklin Nacobo Krause.
,fraxl,White Card,One of those Hemphills.
,fraxl,White Card,One of those A/Erikas.
,fraxl,White Card,Strip Uno.
,fraxl,White Card,Corey Haim and Corey Feldman.
,fraxl,White Card,Corn embryos.
5/30/2014 20:11,fraxl,White Card,Secret tunnel!
5/16/2014 0:02,fraxl & Justin,White Card,A dick in Declan's ear.
,fraxl & Justin,white card,Rusty.
,fraxl & Justin,white Card,Trapped in the closet.
,fraxl & Justin,white Card,Toby Ziegler.
,fraxl & Justin,white card,Polyps.
,fraxl & Justin,white card,Black babies.
,fraxl & Justin,white card,Four popped collars.
5/29/2014 23:25,Hannah & Tyler,White Card,Declan's ponytail.
5/29/2014 23:25,Hannah & Tyler,White Card,Dropping out of art school.
5/29/2014 23:25,Hannah & Tyler,White Card,Emerson University.
5/29/2014 23:26,Hannah & Tyler,White Card,A three day party.
5/29/2014 23:26,Hannah & Tyler,White Card,A pig-eyed man.
5/29/2014 23:26,Hannah & Tyler,White Card,Pearl Arts and Crafts.
5/29/2014 23:27,Hannah & Tyler,White Card,Belphegor the Shit Demon.
5/29/2014 23:27,Hannah & Tyler,White Card,Moon goggles.
5/29/2014 23:28,Hannah & Tyler,White Card,A treasure chest full of dice.
5/29/2014 23:29,Hannah & Tyler,White Card,An assortment of hats.
5/29/2014 23:29,Hannah & Tyler,White Card,"Yo, watch the way I navigate
Hahahahahhaa."
5/29/2014 23:31,Hannah & Tyler,White Card,"Yan Gwan Zhu, the magical sword-wielding Triad assassin."
5/29/2014 23:31,Hannah & Tyler,White Card,"Kveldulf, magical Viking berserker and monster hunter extraordinaire."
5/29/2014 23:31,Hannah & Tyler,White Card,A well-timed counterspell.
5/29/2014 23:32,Hannah & Tyler,White Card,A brotherly punch in the face.
5/29/2014 23:33,Hannah & Tyler,White Card,Seeing Jack naked.
5/29/2014 23:36,Hannah & Tyler,White Card,Pretending to be a bear to sneak into Catalonia.
5/29/2014 23:36,Hannah & Tyler,White Card,"The Poetic Edda, because prose is for suckers."
5/29/2014 23:40,Hannah & Tyler,White Card,Gnoll Country for Mold Men.
5/29/2014 23:40,Hannah & Tyler,White Card,Camping in the shadow of Zombie Mountain.
5/29/2014 23:42,Hannah & Tyler,White Card,Occam's Feeding Razor.
5/29/2014 23:42,Hannah & Tyler,White Card,The Eyeball Kid.
5/29/2014 23:44,Hannah & Tyler,White Card,Using a passport to buy liquor.
5/29/2014 23:46,Hannah & Tyler,White Card,Dressing up as a chair.
5/29/2014 23:50,Hannah & Tyler,White Card,Working at the Apple Store.
5/27/2014 18:24,Hannah & Tyler,White Card,An old fashioned.
5/27/2014 18:25,Hannah & Tyler,White Card,Declan's goatee.
5/27/2014 18:25,Hannah & Tyler,White Card,Pixel Remainder Catimus Prime.
5/27/2014 18:26,Hannah & Tyler,White Card,Sad Polish film.
5/19/2014 15:16,Jason,White Card,"Declan O'Connell's soft, shitty body."
5/19/2014 15:17,Jason,White Card,The few remaining hairs on Declan's head.
5/20/2014 5:29,Josiah,White Card,Excesssive Sssibiliance.
5/28/2014 5:38,Josiah,White Card,Crickets.
5/28/2014 5:45,Josiah,White Card,Long walks in the rain.
5/28/2014 5:53,Josiah,White Card,Thick McRunfast.
5/28/2014 6:00,Josiah,White Card,Schadenfreude.
5/16/2014 0:02,Justin,White Card,St Stephen's Day.
5/16/2014 0:02,Justin,White Card,Hausprime.
5/15/2014 14:30,Justin,White Card,Declan's monkey dance.
5/27/2014 11:51,Justin,White Card,Declan's missing ponytail.
5/29/2014 9:53,Justin,White Card,POWDERED SUGAR.
5/29/2014 16:57,Justin,White Card,The rate at which O'Connells grow facial hair.
5/30/2014 11:29,Justin,White Card,Rogan Clearwater.
5/30/2014 11:29,Justin,White Card,Kor's Head.
5/29/2014 20:18,Matt & Arika,White Card,My butt.
5/29/2014 20:20,Matt & Arika,White Card,MOON GOGGLES!!!!!!!!!!!!!!!!!!!!
5/29/2014 20:27,Matt & Arika,White Card,Blame Amanda for farting!
5/29/2014 20:27,Matt & Arika,White Card,Blame Declan for farting!
5/29/2014 20:33,Matt & Arika,White Card,Yo mama!
5/27/2014 15:31,Meredith,White Card,With a gin and tonic. Hold the tonic.
5/27/2014 12:34,Nora Long,White Card,The second to last pitch in Miranda's game.
5/27/2014 12:34,Nora Long,White Card,Thomisina Coverley.
5/27/2014 12:35,Nora Long,White Card,The popovers at Anthony's Pier 4.
5/29/2014 23:01,Pixel,White Card,Meow.
5/29/2014 23:03,Pixel,White Card,Meow. Meow meow. Meow? Meow Meow Bitch!
5/15/2014 18:00,Tasha McNerney,White Card,Skoochie (combination of skank and hoochie).
5/15/2014 18:01,Tasha McNerney,White Card,Planned Parenthood.
5/15/2014 18:02,Tasha McNerney,White Card,Batman.
5/15/2014 18:04,Tasha McNerney,White Card,Denny's at 4am.
5/15/2014 18:08,Tasha McNerney,White Card,Restaurant and Tuba Museum.
5/15/2014 18:09,Tasha McNerney,White Card,Amateur night at the strip club.
5/15/2014 18:11,Tasha McNerney,White Card,"""I want my two dollars!"""
5/15/2014 19:28,Tom,White Card,"A bigger, blacker Declan."
5/15/2014 19:36,Tom,White Card,"Declan pedantically explaining that you're using the word ""pedantically"" wrong."
5/16/2014 12:48,Tom,White Card,Amanda wearing nothing but a Declan mask.
5/16/2014 12:52,Tom,White Card,An army of Dec-clones.
5/16/2014 12:56,Tom,White Card,Pixel with a rocket launcher.
5/16/2014 13:04,Tom,White Card,A treatise on time travel written by drunk Amanda.
5/16/2014 13:06,Tom,White Card,"Being really, really Irish."
5/16/2014 13:10,Tom,White Card,Spiking the punch with gluten.
5/16/2014 13:13,Tom,White Card,Getting moon goggled while walking by a colony of fire ants.
5/16/2014 13:20,Tom,White Card,The sad realization that you know more about Waterdeep's history than the real world's.
5/27/2014 15:33,unknown,White Card,A floater.
5/27/2014 15:38,unknown,White Card,Krysztof Kieslowski.
5/27/2014 15:36,unknown,White Card,Channing Tatum.
5/15/2014 19:16,Vincent,White Card,Space Evil Robo Declan.
5/15/2014 19:16,Vincent,White Card,Space Evil Robo Amanda.
5/15/2014 19:24,Vincent,White Card,"Synder's Dirty, Dirty Whorehouse."
5/15/2014 19:27,Vincent,White Card,Deqmandity.
5/15/2014 19:37,Vincent,White Card,Deqlor the Shitsock.
5/16/2014 20:40,Vincent,White Card,Moongoggles!
5/16/2014 20:42,Vincent,White Card,Harvey Birdman and Birdgirl.
5/29/2014 10:46,Vincent,White Card,Declan's disapproving slow blink.
5/30/2014 0:03,Vincent,White Card,Amanda's hidden army of magical cooking gnomes.
5/30/2014 0:04,Vincent,White Card,Game of Mad Thrones Bender Men.
